cycle,x,y,action
0,0.0,0.0,4.0
1,4.0,8.0,0.0
2,4.0,8.0,0.0
3,4.0,8.0,-4.0
4,0.0,0.0,-8.0
5,-8.0,-16.0,-12.0
6,-20.0,-40.0,-16.0
7,-36.0,-72.0,-20.0
8,4.0,8.0,0.0
9,4.0,8.0,-4.0
10,0.0,0.0,-8.0
11,-8.0,-16.0,-12.0
12,-20.0,-40.0,-16.0
13,-36.0,-72.0,-20.0
14,4.0,8.0,0.0
15,4.0,8.0,-4.0
16,0.0,0.0,-8.0
17,-8.0,-16.0,-12.0
18,-20.0,-40.0,-16.0
19,-36.0,-72.0,-20.0
20,4.0,8.0,0.0
21,4.0,8.0,-4.0
22,0.0,0.0,-8.0
23,-8.0,-16.0,-12.0
24,-20.0,-40.0,-16.0
25,-36.0,-72.0,-20.0
26,4.0,8.0,0.0
27,4.0,8.0,-4.0
28,0.0,0.0,-8.0
29,-8.0,-16.0,-12.0
30,-20.0,-40.0,-16.0
31,-36.0,-72.0,-20.0
32,4.0,8.0,0.0
33,4.0,8.0,-4.0
34,0.0,0.0,-8.0
35,-8.0,-16.0,-12.0
36,-20.0,-40.0,-16.0
